gestureName,frequenciesX,frequenciesY,frequenciesZ
Nothing,0.016|0.019|0.022|0.024999999999999998|0.027999999999999997|0.030999999999999996|0.030999999999999996|0.030999999999999996|0.030999999999999996|0.030999999999999996|0.029999999999999995|0.026999999999999996|0.023999999999999997|0.020999999999999998|0.018,0.45600000000000007|0.547|0.638|0.73|0.822|0.9139999999999999|0.9149999999999999|0.9159999999999999|0.9159999999999999|0.9159999999999999|0.9149999999999999|0.824|0.733|0.641|0.549,0.23000000000000004|0.277|0.324|0.371|0.418|0.46499999999999997|0.46599999999999997|0.4669999999999999|0.4669999999999999|0.4669999999999999|0.4669999999999999|0.41999999999999993|0.37299999999999994|0.326|0.279
Hit,0.189|0.176|0.11499999999999999|0.010999999999999982|0.05800000000000001|0.0030000000000000027|0.007999999999999993|0.06299999999999997|0.033000000000000015|0.015|0.01299999999999999|0.026000000000000016|0.08700000000000002|0.19100000000000003|0.26,0.037|0.046|0.079|0.11599999999999999|0.06200000000000003|0.402|0.7410000000000001|0.7989999999999999|0.7639999999999999|0.761|0.765|0.7739999999999999|0.807|0.844|0.666,0.506|0.47100000000000003|0.269|0.15100000000000002|0.28|0.15300000000000002|0.127|0.008999999999999952|0.0009999999999999454|0.003999999999999976|0.06399999999999997|0.0989999999999999|0.30099999999999993|0.7210000000000001|0.8500000000000001
