gestureName,frequenciesX,frequenciesY,frequenciesZ
Nothing,0.01|0.012|0.014|0.016|0.018000000000000002|0.021|0.022|0.022|0.022|0.022000000000000006|0.022000000000000006|0.020000000000000004|0.018000000000000002|0.016|0.014,0.478|0.574|0.6689999999999999|0.7649999999999999|0.8609999999999999|0.9569999999999999|0.9569999999999999|0.9559999999999998|0.9569999999999999|0.9579999999999999|0.9569999999999999|0.8609999999999999|0.7659999999999999|0.6699999999999999|0.574,0.18|0.216|0.252|0.288|0.32499999999999996|0.36199999999999993|0.36199999999999993|0.36199999999999993|0.36299999999999993|0.36399999999999993|0.36399999999999993|0.32799999999999996|0.292|0.256|0.219
Hit,0.025000000000000012|0.04600000000000001|0.09500000000000001|0.12200000000000003|0.11500000000000002|0.09400000000000001|0.091|0.47|0.576|0.621|0.647|0.626|0.5770000000000001|0.55|0.557,0.00899999999999998|0.16400000000000003|0.12400000000000003|0.13500000000000004|0.10600000000000004|0.06100000000000003|0.11700000000000002|0.3330000000000001|0.303|0.321|0.17100000000000004|0.0020000000000000018|0.038000000000000006|0.026999999999999996|0.055999999999999994,0.029999999999999985|0.5680000000000001|0.684|0.8330000000000001|0.8390000000000001|0.7010000000000001|0.392|1.0950000000000002|1.2910000000000001|1.419|1.522|0.9840000000000001|0.8680000000000001|0.7190000000000001|0.7130000000000001
