gestureName,frequenciesX,frequenciesY,frequenciesZ
Winken,0.60275|0.08850627487891685|0.10862389569637965|0.15907112433413492|0.0983501124669933|0.07608616274766089|0.028636049009902683|0.09503192587345373|0.06936397186994664|0.03783273961029924|0.027821256362704043|0.035908873164018536|0.13040167771384417|0.16096414820606658|0.06732109969040805|0.028252474756470816|0.05267599351087523|0.018836038508736015|0.05699721640402456|0.0910198066160994|0.031498126046551465|0.020416694922648016|0.042970123210117964|0.020351035776867015|0.018122228179625676|0.006190869850499752|0.015476655181639319|0.027712888575515543|0.020683135042838162|0.02704081170610439|0.018590058573812435|0.05068336129426357|0.012466827681409097|0.027519678182493908|0.04603803715595251|0.04009698174157881|0.007967360811686681|0.014038751173909495|0.0014888959384545693|0.015523770327286678|0.012715639976029498|0.034902673848209956|0.028267921771517098|0.01731209423894246|0.0063496433013050975|0.028763024163391923|0.023740932430303216|0.03821030368158911|0.026582055585279978|0.021309487409035526|0.009096240063322231|0.01636702140479535|0.018567618145222335|0.021649084206248847|0.0039170930566727906|0.019420662582858444|0.028631986570317954|0.013548860665687692|0.018977906285032084|0.02105924108971112,0.07174999999999998|0.019074963704349687|0.06887809206894821|0.10782721593212531|0.07114070318937052|0.1488895855487662|0.6734775133784646|0.4253780228973009|0.328419165683099|0.2065256094232818|0.14629105755826613|0.1514712690224439|0.0634518905795841|0.10790138901476673|0.050303508863050884|0.11797306347401446|0.08293719918379443|0.060318724052863044|0.02542639583739616|0.07896747217623179|0.026377205015779136|0.024521520496450608|0.048477230794448656|0.025026032007843514|0.021344805885445916|0.08200861634615973|0.020901591652690968|0.05525332669347651|0.04144600912580854|0.01212473236435812|0.01031348900981405|0.035853889672749925|0.014474045030989017|0.03715440585819028|0.025985289743224716|0.018126055241593435|0.01664383682023798|0.05624175235782534|0.03211781123485391|0.025981652050306926|0.03544978843378337|0.019169777246446876|0.021408045764556235|0.0216468816646297|0.03014641819970561|0.029730421477382626|0.03516803522392389|0.013873484861440915|0.005928095585277639|0.02935966071951566|0.028141681830726465|0.006305433449048944|0.03408524741641438|0.018586519973317936|0.025224484365181578|0.01322904436522369|0.03492119559498874|0.025726705161857256|0.021617713573768686|0.017603747528365857,0.21008333333333334|0.10804982579130562|0.021076656364576812|0.10637108212367155|0.08307371583271124|0.08464230721478098|0.06976907521513108|0.14278420360174268|0.07572731272918069|0.06703328220337121|0.048205825663257484|0.06392127610587306|0.17030523772546247|0.16974388910334762|0.07706327338650015|0.0551885384554924|0.039397539897751306|0.02538628875285349|0.04854175957834226|0.07798415333123332|0.02186718114232171|0.02351676844965638|0.008966924082749647|0.02002327993321563|0.031376212228379934|0.01206726616794671|0.040485297199050224|0.05992820800487415|0.014472619455149651|0.03619942737117091|0.04829373377801951|0.04378659873611908|0.025021036767589534|0.019990147799766378|0.040723488560144995|0.015086971016612504|0.016265835120355544|0.03477117224886505|0.045839530281981886|0.016640508073557755|0.01147491224851462|0.013252674911302009|0.008198544892013403|0.02093055982469069|0.03461488317777893|0.02132461282264052|0.02477497768502781|0.009873530610354878|0.02482491413389414|0.007434592022644896|0.006212982367704196|0.009438694984177976|0.0033312156267935196|0.008812160993289329|0.01732794224128881|0.013789077800161429|0.011469893359341716|0.019671094806469405|0.016191979239875816|0.004432511404954897
Nichts tun,0.010166666666666666|0.00011005731444314118|3.307368309998376e-05|0.00016417844556781936|0.00021704112060392074|0.0001599080194553744|6.392060602350038e-05|0.00014654665557032933|0.00020691772600082755|0.00017430022997305997|8.333333333333332e-05|2.4348609231832783e-05|5.150283239582458e-05|0.00010093468021014684|0.00018120498588814393|0.00021776049414606272|0.000169337030106104|0.00012632682636593633|0.00023772914399249292|0.00032550963611529025|0.0003004626062886658|0.00019162509778975796|0.00017065841107020586|0.00025330356245858207|0.0002615936995696029|0.00017316171883362432|4.5528712514516086e-05|5.375380477042386e-05|9.32723656924118e-05|0.0001250233524639733|0.00016666666666666663|0.00015749514410263345|7.613255399471047e-05|9.960160312599935e-05|0.0002049275922586329|0.00022277081474550206|0.00013483616572915793|4.410106773814373e-05|0.00014742180940312396|0.0001700771762969392|8.333333333333334e-05|6.035625170664098e-05|0.0001734846083652644|0.00018783382229056885|0.00010043937712575465|9.019935002436615e-05|0.0001987781828013916|0.00022289748671981943|0.00014780566336668576|3.0312637885913823e-05|8.333333333333334e-05|0.00012281741302590216|0.00013205560427736164|0.00015338705917517686|0.00014287481231360172|7.69981795445889e-05|0.0001411951888201417|0.00026710784011234063|0.00030906527242266545|0.0002419978090219712,0.037333333333333336|0.0001516108965358683|0.00047039895193446725|0.00039260238967890463|0.0002978708453331396|0.00035997930146750175|0.00033375279901739715|0.00040780882618197777|0.00011842661370902118|0.0004289105131747746|0.00010327613957728952|0.00036403985780772836|0.0007481307620798136|0.0003906626885527937|0.00026744157293206886|0.00039086797998528594|0.00035987763637849703|0.00048348732487747095|0.00026503502168568444|0.00012121234079976184|0.0003004626062886654|0.00035721562124244564|0.00043878753707912336|0.0004254450452337574|0.00020810100341307015|9.645616312013674e-05|0.00020892264496863715|0.00044423241029286763|0.00018660539078222972|0.00041010229794886656|0.0003726779962499649|0.00039241843586503586|0.00020568104912942642|0.0002920657610537932|0.0009739225080496266|9.645616312013678e-05|0.0004669883730968629|8.658619849487179e-05|0.00024402888623189503|0.000691433177754235|0.0007120003121097945|0.0003258363363183178|0.0001938783806448272|0.0006211939112886692|0.0006694123555458509|0.00039086797998528583|0.0006237258127373221|0.0005985492991757393|0.00011067758550867244|0.00016589094939949974|0.00024244274259803408|0.000520497770604425|0.0002592824227805964|0.0005114438693482698|0.0002419802837514631|0.0003599793014675017|0.0004186521720237099|5.151236365088217e-05|0.0005441781331108924|0.0003564090945375766,1.025|0.00034874492735099814|0.00021762449746499024|0.0006241389608344387|0.00019933686349966992|0.0005368059709077518|0.0006411891599895189|0.000865844723212035|0.0002460498758229651|0.00027182495641937874|0.0005692359281787075|0.0003550471878985058|0.0004963207405149318|0.00032375518981773256|0.0003048184596478264|0.0006854482224219971|0.0009301242652610067|0.0007344800842380494|0.00040955324591553967|0.0003116313881250415|0.0009610468828892374|0.0009598271547239819|0.0004577219601881813|0.0002851251909397413|0.0008250132811115164|0.0009670311801458661|0.0005602104164066038|0.00015344372204048425|0.0009827690028039909|0.0005847626889421858|0.001343709624716425|0.0003604503116144021|0.0008400962502601928|0.0011070936098015718|0.0007271479438915108|0.0012327441389647677|0.0004292100628949428|0.000602214971318257|0.0005730301303171187|0.0009360390966530242|0.001127312438205747|0.0003795399846736826|0.00121414089272559|0.0006227659986244212|0.001249652399144217|0.000625517262343444|0.0004181422886565098|0.000323750403327287|0.00039075109638100924|0.0006338345094574426|0.00045138479798096|0.00025799386869471857|0.0005421345722253528|0.00046672290143068995|0.0007186438178457603|0.00038199584154855127|0.0003443350114045209|0.0006506629851516007|0.0005259769646804631|7.61286565715541e-05
Schlagen,0.26075000000000004|0.043655009841244936|0.036198753559551634|0.04674719279606595|0.0890656229897263|0.14003611977348032|0.5270763210323258|0.09899092019506603|0.06766852449979788|0.03150093622897082|0.18446972667241204|0.39066083156784825|0.3779561285717701|0.13190816983319748|0.11143848616376335|0.11349718639095993|0.10412212280077918|0.3800825938275168|0.16659998500552145|0.03614075552277568|0.13654984844777793|0.10398477166581918|0.09513088284369493|0.3072018563628449|0.13303272076417347|0.054031422169867435|0.11748345616984725|0.12112031049187329|0.16633256705169636|0.21257877996101884|0.1498322441562192|0.10189507152009561|0.07389923883265254|0.14329160683479156|0.19255889259670994|0.15111597029048468|0.12306648333110043|0.13387979270414976|0.03876276359946389|0.1352979736216745|0.16906680139321656|0.15802928304677327|0.08746862964878553|0.1347948198855253|0.10994305682741798|0.12086637393420212|0.0871963898412847|0.2058584359679958|0.02367642253084754|0.0570897919673249|0.14903309828977604|0.08295732649415816|0.09039010869804046|0.18880473285278884|0.04472585714347881|0.038696952079645346|0.16036225883186014|0.03374266867324801|0.14512828464294794|0.12155595657384961,0.9495|0.0588365797859879|0.05968815151345237|0.14715901725670394|0.08736199425826531|0.08667224947591169|0.10222595081621316|0.04941516427248185|0.15272638659513718|0.059817377658688796|0.09833320407428968|0.03424966755904578|0.08312084595260351|0.025269622586404274|0.10880560902923186|0.04766730380312198|0.12265718025927179|0.16271165183251243|0.05727102266443611|0.058238923799741694|0.1714472910579549|0.13614092190730614|0.10341884805520911|0.24796743116777645|0.13083377424518064|0.03650693588963327|0.12799369154732387|0.171366018399663|0.14612070748244543|0.22219235270423204|0.15428675503029343|0.09587966593849377|0.053310092168059944|0.16088216119246404|0.17817507804577506|0.1955612633900141|0.11718978539726442|0.12164340603017018|0.07305328877703757|0.11487177095452275|0.15228324760130377|0.20238263922860344|0.0322352484888702|0.08536454867451003|0.08855425065877885|0.060575208839249155|0.10319429915502425|0.16723347978584838|0.025575376940525904|0.07691070421916864|0.06573661992151955|0.025118155494202397|0.08952557173406149|0.11404988310260815|0.06454743155055684|0.07018140270940221|0.04284749684537687|0.04581616796482713|0.08565056196913724|0.05139810233465675,0.46016666666666667|0.09175558847307558|0.10406008466589926|0.04514627488435778|0.05132430930892467|0.043492770838724715|0.05230959240200643|0.05886458116889717|0.04964298038395175|0.0747221008344052|0.011478184091914546|0.05627662891441232|0.08134670836799224|0.046203461646400545|0.06423480742565464|0.06877402451573103|0.04643086798989859|0.1248660540800217|0.05901685245867864|0.03714330693529953|0.1026827977046031|0.07618645494509803|0.05213266024343949|0.0902714915656341|0.10483402803635294|0.02291677259447346|0.05960628857781736|0.12388203676668548|0.0478549367019412|0.07980479118311852|0.11012328949358935|0.05383049208951648|0.041155469307929855|0.14518498030580546|0.09573284816277687|0.06852671201451457|0.0816366304215314|0.07676893555456539|0.10684964101100763|0.13501334808949558|0.12266352464273059|0.10557775770048246|0.05619030589666111|0.08136566233010879|0.16997615116351128|0.09572106581520344|0.0827009380463608|0.1321248325619899|0.07440962198164253|0.07512016746681231|0.18084266845630365|0.08426779237100142|0.04644331082763112|0.13199544179017125|0.07614436560946829|0.08257007894437868|0.12023826442208871|0.033084886689350626|0.07632576900841725|0.1280922237116715
werfen,0.11669750699666667|0.02635580454406037|0.07595106128553525|0.10230571320837066|0.06911340079293352|0.0643248903767276|0.07013204235991254|0.0781636810089098|0.021406378877226552|0.009220084260438369|0.05233689503657222|0.04724327384225707|0.027346985173919158|0.043523287531301406|0.030628563922558357|0.033774853729206744|0.029469362145515803|0.040507491008176424|0.018304419659677298|0.00511936403831694|0.009827972066723662|0.030436439518125216|0.01181388721791426|0.013376354948556227|0.006620847338779662|0.023324734140681393|0.015968564460508906|0.01551826412586308|0.011670808431762972|0.013037615704886903|0.011033153239066689|0.006095525033260647|0.009695425930632953|0.011326105251021568|0.006576834666715678|0.008755480742694404|0.0017880506732957553|0.012475865559482047|0.010430995107405087|0.013525425508079484|0.0045486625097416146|0.014501254170304062|0.015514923881894897|0.011593719569072777|0.007759768053204996|0.018988558732588694|0.008767840940561569|0.020247408042840337|0.00638732756610519|0.016136633644626513|0.005773247659891217|0.007046308482291978|0.00703231184667643|0.008524080206153665|0.004956937966223396|0.01223686811285155|0.006913153881805066|0.004981366088542527|0.010733079640836017|0.011795994105253484,0.036634108888333336|0.08170834910815326|0.09810250266384049|0.08294397626537368|0.11307086263347087|0.03731744158342286|0.08549046552218377|0.05332726887906301|0.032585115492889824|0.11069947609562605|0.04619493691563736|0.02851162695148616|0.03760225817860092|0.04162867040350087|0.017351622175911657|0.020809992800920763|0.0299628504003183|0.029083621418402737|0.03791732957014202|0.018943541862990094|0.03255445379531616|0.0070157045426213665|0.011702818360285966|0.018973844322741344|0.00757765144522741|0.021977866790715447|0.01752240427167028|0.003391124228355595|0.008461799384104901|0.009138305941175026|0.005918642294541309|0.003149714837416649|0.010289032156442052|0.0046039290256371535|0.009263550017803374|0.012700336173433155|0.020859160782793342|0.0028092308228223253|0.014417038204121676|0.010181874852121792|0.00590894151009147|0.022612157445009266|0.013839427211601777|0.01718925637686361|0.02195469029256096|0.011517230836739991|0.01652398977844191|0.01995950937152915|0.012408698346511936|0.008130601083777979|0.016520063310727362|0.004228431205897059|0.011842802199944302|0.0035995178313944364|0.00465394967715414|0.010268716779179956|0.005167574550272348|0.007801851846811602|0.008065597335358997|0.0015475049562590389,1.11484890479|0.048061532129810874|0.14571124947452058|0.09756338098385339|0.0649508021433519|0.1014632505050953|0.23510386139136427|0.12686627630942587|0.0867494883935744|0.1793946080184532|0.2778514725848794|0.1504618358148328|0.1902217742581487|0.051679363192949745|0.05294534706490817|0.08013705559654505|0.1744280804404567|0.0631764075483241|0.1479896637691374|0.07573866539279107|0.004206228102895475|0.0691793365940101|0.10393268059970422|0.015570364737509432|0.06767741329196346|0.0557790985737132|0.015909075416719126|0.0336176624548261|0.039762024894518105|0.010296545696830015|0.01960956767854775|0.002448542826273031|0.030933257534431033|0.025431388359696924|0.028701912154676056|0.021921415846434734|0.02228761278579536|0.04043669213160517|0.029802135876768242|0.02744454951504803|0.04914161314744698|0.046812635276262525|0.015074299301145982|0.09349118756182058|0.040883960669985946|0.05900367949613328|0.031261555088003136|0.020332429680167304|0.02585937859068375|0.049222048332514305|0.043306420919561675|0.04399851433247908|0.047572134642271044|0.03810295997990781|0.024282821771897386|0.016652637871601164|0.035790948135724254|0.011545436434309053|0.017202361774303225|0.01578271096978739
